id,imagen_archivo,nombre_comercial,caracteristicas, precio 
1,gabinete-1.webp,Acteck Delta,"Fuente 500W, Micro-ATX / Mini-ITX, USB 3.0, Color Negro", $799.00 
2,gabinete-2.webp,Stylos Tech Micro ATX,"Fuente de Poder 500W, Formato Micro ATX, Ideal para Oficina", $774.00 
3,gabinete-3.webp,Quaroni Qcmt-10,"Micro Torre, Soporta Placas Micro-ATX / Mini-ITX, Fuente 500W", $599.00 
4,gabinete-4.webp,Performance Mini III GI215M,"Mini Torre, Fuente 500W, Diseño Compacto", $638.00 
5,gabinete-5.webp,Performance II GI215,"Formato Micro-ATX, Fuente ATX 500W, Color Negro", $839.00 
6,Tarjeta Madre-6.webp,"Tarjeta Madre, Motherboard Biostar A68N 2100K", AMD Dual Core 1.35GHz Mini ITX DDR3 1333MHz USB 3.2," $1,225.00 "
7,Tarjeta Madre-7.webp,,,
