sku,nombre,descripcion_completa,categoria_ct,categoria_clasificada,marca,base_cost_usd,costo_proveedor_mxn,precio_original,original,precio,precio_mxn,precio_mayoreo_10pzs,precio_piso_minimo_20,img,local_img
CARHPP4260,"Tinta HP 992X. Núm. Parte: M0J91AL. Color Cian. Rendimiento: 16,000 págs. Compatible con: HP PageWide Color 774dn, PageWide Color 774dns, PageWide Color 755dn, PageWide Pro 772dw, PageWide Pro 750dw, PageWide Pro 777z. Dimensiones: 220 x 52 x 48 mm. Peso 0,4 kg.","Tinta HP 992X. Núm. Parte: M0J91AL. Color Cian. Rendimiento: 16,000 págs. Compatible con: HP PageWide Color 774dn, PageWide Color 774dns, PageWide Color 755dn, PageWide Pro 772dw, PageWide Pro 750dw, PageWide Pro 777z. Dimensiones: 220 x 52 x 48 mm. Peso 0,4 kg.. Clave Oficial CT: CARHPP4260. Marca: CT.",CONSUMIBLES,consumibles,CT,4359.65,85013.11,136020.97,136020.97,114767.7,114767.7,106266.39,102015.73,https://static.ctonline.mx/imagenes/CARHPP4260/CARHPP4260_400.jpg,assets/img/catalog/CARHPP4260.jpg
CARHPP4270,"Tinta HP 992X. Núm. Parte: M0J95AL. Color Magenta. Rendimiento: 16,000 págs. Compatible con: HP PageWide Color 774dn, PageWide Color 774dns, PageWide Color 755dn, PageWide Pro 772dw, PageWide Pro 750dw, PageWide Pro 777z. Dimensiones: 220 x 52 x 48 mm. Peso 0,4 kg.","Tinta HP 992X. Núm. Parte: M0J95AL. Color Magenta. Rendimiento: 16,000 págs. Compatible con: HP PageWide Color 774dn, PageWide Color 774dns, PageWide Color 755dn, PageWide Pro 772dw, PageWide Pro 750dw, PageWide Pro 777z. Dimensiones: 220 x 52 x 48 mm. Peso 0,4 kg.. Clave Oficial CT: CARHPP4270. Marca: CT.",CONSUMIBLES,consumibles,CT,4359.65,85013.11,136020.97,136020.97,114767.7,114767.7,106266.39,102015.73,https://static.ctonline.mx/imagenes/CARHPP4270/CARHPP4270_400.jpg,assets/img/catalog/CARHPP4270.jpg
CARHPP4280,"Tinta HP 992X. Núm. Parte: M0J99AL. Color Amarillo. Rendimiento: 16,000 págs. Compatible con: HP PageWide Color 774dn, PageWide Color 774dns, PageWide Color 755dn, PageWide Pro 772dw, PageWide Pro 750dw, PageWide Pro 777z. Dimensiones: 220 x 52 x 48 mm. Peso 0,4 kg.","Tinta HP 992X. Núm. Parte: M0J99AL. Color Amarillo. Rendimiento: 16,000 págs. Compatible con: HP PageWide Color 774dn, PageWide Color 774dns, PageWide Color 755dn, PageWide Pro 772dw, PageWide Pro 750dw, PageWide Pro 777z. Dimensiones: 220 x 52 x 48 mm. Peso 0,4 kg.. Clave Oficial CT: CARHPP4280. Marca: CT.",CONSUMIBLES,consumibles,CT,4359.65,85013.11,136020.97,136020.97,114767.7,114767.7,106266.39,102015.73,https://static.ctonline.mx/imagenes/CARHPP4280/CARHPP4280_400.jpg,assets/img/catalog/CARHPP4280.jpg
CARHPP4290,"Tinta HP 992X. Núm. Parte: M0K03AL. Color Negro. Rendimiento: 20,000 págs. Compatible con: HP PageWide Color 774dn, PageWide Color 774dns, PageWide Color 755dn, PageWide Pro 772dw, PageWide Pro 750dw, PageWide Pro 777z. Dimensiones: 220 x 52 x 48 mm. Peso 0,39 kg.","Tinta HP 992X. Núm. Parte: M0K03AL. Color Negro. Rendimiento: 20,000 págs. Compatible con: HP PageWide Color 774dn, PageWide Color 774dns, PageWide Color 755dn, PageWide Pro 772dw, PageWide Pro 750dw, PageWide Pro 777z. Dimensiones: 220 x 52 x 48 mm. Peso 0,39 kg.. Clave Oficial CT: CARHPP4290. Marca: CT.",CONSUMIBLES,consumibles,CT,3908.23,76210.45,121936.72,121936.72,102884.11,102884.11,95263.07,91452.54,https://static.ctonline.mx/imagenes/CARHPP4290/CARHPP4290_400.jpg,assets/img/catalog/CARHPP4290.jpg
CARHPP3510,"Tinta HP 62XL. Núm. Parte: C2P05AL. Color Negro. Rendimiento: 600 págs. Compatible con: HP OfficeJet 200 Mobile Printer; HP Officejet 250 Mobile All-in-One Printer. Dimensiones: 114 x 36,3 x 114,6 mm. Peso 0,07 kg.","Tinta HP 62XL. Núm. Parte: C2P05AL. Color Negro. Rendimiento: 600 págs. Compatible con: HP OfficeJet 200 Mobile Printer; HP Officejet 250 Mobile All-in-One Printer. Dimensiones: 114 x 36,3 x 114,6 mm. Peso 0,07 kg.. Clave Oficial CT: CARHPP3510. Marca: CT.",CONSUMIBLES,consumibles,CT,911.77,17779.58,28447.32,28447.32,24002.43,24002.43,22224.47,21335.49,https://static.ctonline.mx/imagenes/CARHPP3510/CARHPP3510_400.jpg,assets/img/catalog/CARHPP3510.jpg
CARHPP3520,"Tinta HP 62XL. Núm. Parte: C2P07AL. Color Tricolor. Rendimiento: 415 págs. Compatible con: HP OfficeJet 200 Mobile Printer; HP Officejet 250 Mobile All-in-One Printer. Dimensiones: 114 x 36,3 x 114,6 mm. Peso 0,08 kg.","Tinta HP 62XL. Núm. Parte: C2P07AL. Color Tricolor. Rendimiento: 415 págs. Compatible con: HP OfficeJet 200 Mobile Printer; HP Officejet 250 Mobile All-in-One Printer. Dimensiones: 114 x 36,3 x 114,6 mm. Peso 0,08 kg.. Clave Oficial CT: CARHPP3520. Marca: CT.",CONSUMIBLES,consumibles,CT,947.38,18473.94,29558.3,29558.3,24939.82,24939.82,23092.42,22168.73,https://static.ctonline.mx/imagenes/CARHPP3520/CARHPP3520_400.jpg,assets/img/catalog/CARHPP3520.jpg
CARHPP3620,"Tinta HP 932XL. Núm. Parte: CN053AL. Color Negro. Rendimiento: 1,000 págs. Compatible con: HP OfficeJet 7110, 7510, 7610, 7612. Dimensiones: 114 x 126 x 36 mm. Peso 0,09 kg.","Tinta HP 932XL. Núm. Parte: CN053AL. Color Negro. Rendimiento: 1,000 págs. Compatible con: HP OfficeJet 7110, 7510, 7610, 7612. Dimensiones: 114 x 126 x 36 mm. Peso 0,09 kg.. Clave Oficial CT: CARHPP3620. Marca: CT.",CONSUMIBLES,consumibles,CT,756.28,14747.54,23596.07,23596.07,19909.18,19909.18,18434.43,17697.05,https://static.ctonline.mx/imagenes/CARHPP3620/CARHPP3620_400.jpg,assets/img/catalog/CARHPP3620.jpg
CARHPP3630,"Tinta HP 933XL. Núm. Parte: CN054AL. Color Cian. Rendimiento: 825 págs. Compatible con: HP OfficeJet 7110, 7510, 7610, 7612. Dimensiones: 114 x 126 x 36 mm. Peso 0,09 kg.","Tinta HP 933XL. Núm. Parte: CN054AL. Color Cian. Rendimiento: 825 págs. Compatible con: HP OfficeJet 7110, 7510, 7610, 7612. Dimensiones: 114 x 126 x 36 mm. Peso 0,09 kg.. Clave Oficial CT: CARHPP3630. Marca: CT.",CONSUMIBLES,consumibles,CT,355.47,6931.74,11090.78,11090.78,9357.84,9357.84,8664.67,8318.08,https://static.ctonline.mx/imagenes/CARHPP3630/CARHPP3630_400.jpg,assets/img/catalog/CARHPP3630.jpg
CARHPP3640,"Tinta HP 933XL. Núm. Parte: CN055AL. Color Magenta. Rendimiento: 825 págs. Compatible con: HP OfficeJet 7110, 7510, 7610, 7612. Dimensiones: 114 x 126 x 36 mm. Peso 0,09 kg.","Tinta HP 933XL. Núm. Parte: CN055AL. Color Magenta. Rendimiento: 825 págs. Compatible con: HP OfficeJet 7110, 7510, 7610, 7612. Dimensiones: 114 x 126 x 36 mm. Peso 0,09 kg.. Clave Oficial CT: CARHPP3640. Marca: CT.",CONSUMIBLES,consumibles,CT,355.47,6931.74,11090.78,11090.78,9357.84,9357.84,8664.67,8318.08,https://static.ctonline.mx/imagenes/CARHPP3640/CARHPP3640_400.jpg,assets/img/catalog/CARHPP3640.jpg
CARHPP3650,"Tinta HP 933XL. Núm. Parte: CN056AL. Color Amarillo. Rendimiento: 825 págs. Compatible con: HP OfficeJet 7110, 7510, 7610, 7612. Dimensiones: 114 x 126 x 36 mm. Peso 0,09 kg.","Tinta HP 933XL. Núm. Parte: CN056AL. Color Amarillo. Rendimiento: 825 págs. Compatible con: HP OfficeJet 7110, 7510, 7610, 7612. Dimensiones: 114 x 126 x 36 mm. Peso 0,09 kg.. Clave Oficial CT: CARHPP3650. Marca: CT.",CONSUMIBLES,consumibles,CT,355.47,6931.74,11090.78,11090.78,9357.84,9357.84,8664.67,8318.08,https://static.ctonline.mx/imagenes/CARHPP3650/CARHPP3650_400.jpg,assets/img/catalog/CARHPP3650.jpg
