sku,nombre,descripcion_completa,categoria_ct,categoria_clasificada,marca,base_cost_usd,costo_proveedor_mxn,precio_original,original,precio,precio_mxn,precio_mayoreo_10pzs,precio_piso_minimo_20,img,local_img
GABMVA020,Gabinete de Pared ENSON ENS-RKGB6U 6U Ensamblado 600X450MM,Gabinete de Pared ENSON ENS-RKGB6U 6U Ensamblado 600X450MM. Clave Oficial CT: GABMVA020. Marca: CT.,CONECTIVIDAD,gabinetes,CT,75.0,1462.5,2340.0,2340.0,1974.38,1974.38,1828.12,1755.0,https://static.ctonline.mx/imagenes/GABMVA020/GABMVA020_400.jpg,assets/img/catalog/GABMVA020.jpg
GABMVA070,"Gabinete de pared ENSON ENS-RKGB6UD 6ur puerta frontal de cristal templado con cerradura de seguridad ranuras de ventilación en la parte superior para 2 ventiladores de 11 cm 600x450x368mm, *requiere ensamblaje*","Gabinete de pared ENSON ENS-RKGB6UD 6ur puerta frontal de cristal templado con cerradura de seguridad ranuras de ventilación en la parte superior para 2 ventiladores de 11 cm 600x450x368mm, *requiere ensamblaje*. Clave Oficial CT: GABMVA070. Marca: CT.",CONECTIVIDAD,gabinetes,CT,73.5,1433.25,2293.2,2293.2,1934.89,1934.89,1791.56,1719.9,https://static.ctonline.mx/imagenes/GABMVA070/GABMVA070_400.jpg,assets/img/catalog/GABMVA070.jpg
GABMVA060,Gabinete de Pared ENSON ENS-RKGB9U2 9U Ensamblado 600X6000MM,Gabinete de Pared ENSON ENS-RKGB9U2 9U Ensamblado 600X6000MM. Clave Oficial CT: GABMVA060. Marca: CT.,CONECTIVIDAD,gabinetes,CT,136.53,2662.41,4259.86,4259.86,3594.26,3594.26,3328.02,3194.9,https://static.ctonline.mx/imagenes/GABMVA060/GABMVA060_400.jpg,assets/img/catalog/GABMVA060.jpg
ACCENS120,Tapa ciega para rack o gabinete ENSON ENS-FLAT1 fabricada en lamina de acero calibre 22 ideal para cubrir espacios vacíos en racks o gabinetes cumple con norma EIA,Tapa ciega para rack o gabinete ENSON ENS-FLAT1 fabricada en lamina de acero calibre 22 ideal para cubrir espacios vacíos en racks o gabinetes cumple con norma EIA. Clave Oficial CT: ACCENS120. Marca: CT.,CONECTIVIDAD,gabinetes,CT,3.53,68.82,110.12,110.12,92.91,92.91,86.03,82.59,https://static.ctonline.mx/imagenes/ACCENS120/ACCENS120_400.jpg,assets/img/catalog/ACCENS120.jpg
ACCMVA1440,"Charola para rack ENSON ENS-RTR1U Fijacion frontal a dos puntos solida 1 Unidad de rack, Compatible con racks y gabinetes ENSON.","Charola para rack ENSON ENS-RTR1U Fijacion frontal a dos puntos solida 1 Unidad de rack, Compatible con racks y gabinetes ENSON.. Clave Oficial CT: ACCMVA1440. Marca: CT.",CONECTIVIDAD,gabinetes,CT,13.64,265.91,425.45,425.45,358.98,358.98,332.39,319.09,https://static.ctonline.mx/imagenes/ACCMVA1440/ACCMVA1440_400.jpg,assets/img/catalog/ACCMVA1440.jpg
ACCENS130,"Charola Corrediza ENSON ENS-RTM1 fijación a cuatro puntos ventilada ideal para la colocación de teclados en site de 1 unidad de rack, compatible con Gabinetes ENSON","Charola Corrediza ENSON ENS-RTM1 fijación a cuatro puntos ventilada ideal para la colocación de teclados en site de 1 unidad de rack, compatible con Gabinetes ENSON. Clave Oficial CT: ACCENS130. Marca: CT.",CONECTIVIDAD,gabinetes,CT,34.0,663.0,1060.8,1060.8,895.05,895.05,828.75,795.6,https://static.ctonline.mx/imagenes/ACCENS130/ACCENS130_400.jpg,assets/img/catalog/ACCENS130.jpg
ACCENS100,Ventilador ENSON ENS-FAN-120 120 x 120 mm 110vca con cable y clavija para Gabinetes ENSON y otras marcas,Ventilador ENSON ENS-FAN-120 120 x 120 mm 110vca con cable y clavija para Gabinetes ENSON y otras marcas. Clave Oficial CT: ACCENS100. Marca: CT.,CONECTIVIDAD,gabinetes,CT,10.58,206.24,329.99,329.99,278.43,278.43,257.8,247.49,https://static.ctonline.mx/imagenes/ACCENS100/ACCENS100_400.jpg,assets/img/catalog/ACCENS100.jpg
ACCLKP120,"Gabinete  Linkedpro LP-6060-42U-R2 Estándar 19"", 42UR  600 mm Ancho x 600 mm Profundidad Fabricado en Acero","Gabinete  Linkedpro LP-6060-42U-R2 Estándar 19"", 42UR  600 mm Ancho x 600 mm Profundidad Fabricado en Acero. Clave Oficial CT: ACCLKP120. Marca: CT.",CONECTIVIDAD,gabinetes,CT,855.33,16679.0,26686.4,26686.4,22516.65,22516.65,20848.75,20014.8,https://static.ctonline.mx/imagenes/ACCLKP120/ACCLKP120_400.jpg,assets/img/catalog/ACCLKP120.jpg
GABLKP050,"Gabinete de Exterior con Rack de 19""LinkedPRO modelo LP-FORTE-09U-R3 de 9UR con Ventiladores y Termostato, Se envía el Gabinete armado","Gabinete de Exterior con Rack de 19""LinkedPRO modelo LP-FORTE-09U-R3 de 9UR con Ventiladores y Termostato, Se envía el Gabinete armado. Clave Oficial CT: GABLKP050. Marca: CT.",CONECTIVIDAD,gabinetes,CT,567.92,11074.48,17719.17,17719.17,14950.55,14950.55,13843.1,13289.38,https://static.ctonline.mx/imagenes/GABLKP050/GABLKP050_400.jpg,assets/img/catalog/GABLKP050.jpg
GABNXX010,Gabinete NEXXT modelo AW221NXT41 pared fijo semi-ensamblados 2 Ventiladores 15U .76X.60X.45Mts PCRWESKD15U60FXBK,Gabinete NEXXT modelo AW221NXT41 pared fijo semi-ensamblados 2 Ventiladores 15U .76X.60X.45Mts PCRWESKD15U60FXBK. Clave Oficial CT: GABNXX010. Marca: CT.,CONECTIVIDAD,gabinetes,CT,79.55,1551.14,2481.82,2481.82,2094.03,2094.03,1938.92,1861.36,https://static.ctonline.mx/imagenes/GABNXX010/GABNXX010_400.jpg,assets/img/catalog/GABNXX010.jpg
GABNXX020,Gabinete NEXXT modelo AW222NXT02  pared fijos semi-ensamblados 2 Ventiladores 9U .50X.60X.55Mts NPC-P9U65B,Gabinete NEXXT modelo AW222NXT02  pared fijos semi-ensamblados 2 Ventiladores 9U .50X.60X.55Mts NPC-P9U65B. Clave Oficial CT: GABNXX020. Marca: CT.,CONECTIVIDAD,gabinetes,CT,225.03,4388.16,7021.06,7021.06,5924.02,5924.02,5485.21,5265.8,https://static.ctonline.mx/imagenes/GABNXX020/GABNXX020_400.jpg,assets/img/catalog/GABNXX020.jpg
GABNXX030,Gabinete NEXXT modelo AW222NXT03 pared fijos semi-ensamblados 2 Ventiladores 12U .63X.60X.55Mts.H.W.D. NPC-P12U65B,Gabinete NEXXT modelo AW222NXT03 pared fijos semi-ensamblados 2 Ventiladores 12U .63X.60X.55Mts.H.W.D. NPC-P12U65B. Clave Oficial CT: GABNXX030. Marca: CT.,CONECTIVIDAD,gabinetes,CT,286.67,5590.07,8944.12,8944.12,7546.6,7546.6,6987.59,6708.09,https://static.ctonline.mx/imagenes/GABNXX030/GABNXX030_400.jpg,assets/img/catalog/GABNXX030.jpg
GABNXX040,Gabinete NEXXT modelo AW222NXT04 pared fijos semi-ensamblados 2 Ventiladores 15U .77X.60X.55Mts NPC-P15U65B,Gabinete NEXXT modelo AW222NXT04 pared fijos semi-ensamblados 2 Ventiladores 15U .77X.60X.55Mts NPC-P15U65B. Clave Oficial CT: GABNXX040. Marca: CT.,CONECTIVIDAD,gabinetes,CT,310.89,6062.28,9699.65,9699.65,8184.08,8184.08,7577.86,7274.74,https://static.ctonline.mx/imagenes/GABNXX040/GABNXX040_400.jpg,assets/img/catalog/GABNXX040.jpg
GABWAM140,"Gabinete Para Montaje En Pared WAM WAM-WC06UR06-A Alto: 6UR Ancho: 600 mm Profundidad: 600 mm , Acero rolado en frío SPCC 1.2 mm, Puerta delantera de cristal templado, Puerta Posterior Lisa, Paneles Laterales Desmontables habilitado para el ingreso de cables inferior o superior, Preparación para instalar extractores de aire.","Gabinete Para Montaje En Pared WAM WAM-WC06UR06-A Alto: 6UR Ancho: 600 mm Profundidad: 600 mm , Acero rolado en frío SPCC 1.2 mm, Puerta delantera de cristal templado, Puerta Posterior Lisa, Paneles Laterales Desmontables habilitado para el ingreso de cables inferior o superior, Preparación para instalar extractores de aire.. Clave Oficial CT: GABWAM140. Marca: CT.",TELEFONIA Y VIDEO VIGILANCIA,gabinetes,CT,122.94,2397.39,3835.83,3835.83,3236.48,3236.48,2996.74,2876.87,https://static.ctonline.mx/imagenes/GABWAM140/GABWAM140_400.jpg,assets/img/catalog/GABWAM140.jpg
