sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,placeholder,garantia,disponibilidad_gdl
SERCLO810,SERCLO810,"Backup de 9TB en la nube, únicamente para un solo equipo físico o virtual. Incluye: Una licenci","Backup de 9TB en la nube, únicamente para un solo equipo físico o virtual. Incluye: Una licencia para respaldo, un respaldo diario con retención de 7 días y obtención de respaldo incluido. Sin recuperación en la Nube. NCBU9TB",9TB,m,15551.934010152285,15551.93,797.53,18662.32,18662.32,24883.09,17884.72,18662.32,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/SERCLO810.jpg,https://static.ctonline.mx/imagenes/SERCLO810/SERCLO810_400.jpg,./assets/img/placeholders/minipc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
SERCLO820,SERCLO820,"Backup de 10TB en la nube, únicamente para un solo equipo físico o virtual. Incluye: Una licenc","Backup de 10TB en la nube, únicamente para un solo equipo físico o virtual. Incluye: Una licencia para respaldo, un respaldo diario con retención de 7 días y obtención de respaldo incluido. Sin recuperación en la Nube. NCBU10TB",10TB,m,17234.54314720812,17234.54,883.82,20681.44,20681.44,27575.26,19819.72,20681.45,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/SERCLO820.jpg,https://static.ctonline.mx/imagenes/SERCLO820/SERCLO820_400.jpg,./assets/img/placeholders/minipc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
SERCLO830,SERCLO830,"Licencia o agente adicional, exclusiva para Backup en nube Nephos IT. NCBULIC","Licencia o agente adicional, exclusiva para Backup en nube Nephos IT. NCBULIC",PC CUSTOM,m,517.0,517.0,26.51,620.4,620.4,827.2,594.55,620.4,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/SERCLO830.jpg,https://static.ctonline.mx/imagenes/SERCLO830/SERCLO830_400.jpg,./assets/img/placeholders/minipc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
SERCLO840,SERCLO840,Backup Personalizado con recursos y licencias específicas. Obtención de respaldo incluido. Sin ,Backup Personalizado con recursos y licencias específicas. Obtención de respaldo incluido. Sin recuperación en la Nube. NCBUPER,PC CUSTOM,m,3073.5444444444443,3073.54,157.62,3688.24,3688.24,4917.66,3534.57,3688.25,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/SERCLO840.jpg,https://static.ctonline.mx/imagenes/SERCLO840/SERCLO840_400.jpg,./assets/img/placeholders/minipc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
SERCLO900,SERCLO900,Actualización de sistema operativo Windows 2016 a 2022 ACTWIN,Actualización de sistema operativo Windows 2016 a 2022 ACTWIN,PC CUSTOM,m,1466.6666666666667,1466.67,75.21,1760.0,1760.0,2346.67,1686.67,1760.0,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/SERCLO900.jpg,https://static.ctonline.mx/imagenes/SERCLO900/SERCLO900_400.jpg,./assets/img/placeholders/minipc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
SERCLO890,SERCLO890,"Backup de 1.5TB  en la nube, únicamente para un solo equipo físico o virtual. Incluye: Una lice","Backup de 1.5TB  en la nube, únicamente para un solo equipo físico o virtual. Incluye: Una licencia para respaldo, un respaldo diario con retención de 7 días y obtención de respaldo incluido. Sin recuperación en la Nube. NCB1.5GB",1.5TB,m,2044.4444444444443,2044.44,104.84,2453.32,2453.32,3271.1,2351.11,2453.33,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/SERCLO890.jpg,https://static.ctonline.mx/imagenes/SERCLO890/SERCLO890_400.jpg,./assets/img/placeholders/minipc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
SERCLO910,SERCLO910,2Gb Memoria Ram Adicional Para Servidor Virtual En La Nube MEM2GB,2Gb Memoria Ram Adicional Para Servidor Virtual En La Nube MEM2GB,PC CUSTOM,m,817.8172588832488,817.82,41.94,981.38,981.38,1308.51,940.49,981.38,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/SERCLO910.jpg,https://static.ctonline.mx/imagenes/SERCLO910/SERCLO910_400.jpg,./assets/img/placeholders/minipc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
SERCLO920,SERCLO920,4Gb Memoria Ram Adicional Para Servidor Virtual En La Nube MEM4GB,4Gb Memoria Ram Adicional Para Servidor Virtual En La Nube MEM4GB,PC CUSTOM,m,1432.1000000000001,1432.1,73.44,1718.52,1718.52,2291.36,1646.91,1718.52,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/SERCLO920.jpg,https://static.ctonline.mx/imagenes/SERCLO920/SERCLO920_400.jpg,./assets/img/placeholders/minipc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
SERCLO930,SERCLO930,6Gb Memoria Ram Adicional Para Servidor Virtual En La Nube MEM6GB,6Gb Memoria Ram Adicional Para Servidor Virtual En La Nube MEM6GB,PC CUSTOM,m,2148.148148148148,2148.15,110.16,2577.78,2577.78,3437.04,2470.37,2577.78,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/SERCLO930.jpg,https://static.ctonline.mx/imagenes/SERCLO930/SERCLO930_400.jpg,./assets/img/placeholders/minipc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
SERCLO940,SERCLO940,8Gb Memoria Ram Adicional Para Servidor Virtual En La Nube MEM8GB,8Gb Memoria Ram Adicional Para Servidor Virtual En La Nube MEM8GB,PC CUSTOM,m,2864.1975308641977,2864.2,146.88,3437.04,3437.04,4582.72,3293.83,3437.04,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/SERCLO940.jpg,https://static.ctonline.mx/imagenes/SERCLO940/SERCLO940_400.jpg,./assets/img/placeholders/minipc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
