sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,categoria_clasificada,img,cdn_url,garantia,disponibilidad_gdl
DDUKGT2420,DDUKGT2420,SSD NV3 M.2 KINGSTON 1000GB SNV3S/1000G,SSD NV3 M.2 KINGSTON 1000GB SNV3S/1000G,SSD,d,123.5,2408.25,123.5,3612.38,3612.38,4816.5,3371.55,discos_duros,assets/img/catalog/discos_duros/DDUKGT2420.jpg,https://static.ctonline.mx/imagenes/DDUKGT2420/DDUKGT2420_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2430,DDUKGT2430,SSD NV3 M.2 KINGSTON 2000GB SNV3S/2000G,SSD NV3 M.2 KINGSTON 2000GB SNV3S/2000G,SSD,d,296.64444444444445,5784.57,296.64444444444445,8676.85,8676.85,11569.14,8098.4,discos_duros,assets/img/catalog/discos_duros/DDUKGT2430.jpg,https://static.ctonline.mx/imagenes/DDUKGT2430/DDUKGT2430_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2440,DDUKGT2440,SSD NV3 M.2 KINGSTON 4000GB SNV3S/4000G,SSD NV3 M.2 KINGSTON 4000GB SNV3S/4000G,SSD,d,590.8333333333334,11521.25,590.8333333333334,17281.88,17281.88,23042.5,16129.75,discos_duros,assets/img/catalog/discos_duros/DDUKGT2440.jpg,https://static.ctonline.mx/imagenes/DDUKGT2440/DDUKGT2440_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2310,DDUKGT2310,SSD DC600M 2.5 KINGSTON 480GB SEDC600M/480G,SSD DC600M 2.5 KINGSTON 480GB SEDC600M/480G,SSD,d,413.72222222222223,8067.58,413.72222222222223,12101.37,12101.37,16135.16,11294.61,discos_duros,assets/img/catalog/discos_duros/DDUKGT2310.jpg,https://static.ctonline.mx/imagenes/DDUKGT2310/DDUKGT2310_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2320,DDUKGT2320,SSD DC600M 2.5 KINGSTON 960GB SEDC600M/960G,SSD DC600M 2.5 KINGSTON 960GB SEDC600M/960G,SSD,d,590.7444444444444,11519.52,590.7444444444444,17279.28,17279.28,23039.04,16127.33,discos_duros,assets/img/catalog/discos_duros/DDUKGT2320.jpg,https://static.ctonline.mx/imagenes/DDUKGT2320/DDUKGT2320_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2330,DDUKGT2330,SSD DC600M 2.5 KINGSTON 1920GB SEDC600M/1920G,SSD DC600M 2.5 KINGSTON 1920GB SEDC600M/1920G,SSD,d,1136.8333333333333,22168.25,1136.8333333333333,33252.38,33252.38,44336.5,31035.55,discos_duros,assets/img/catalog/discos_duros/DDUKGT2330.jpg,https://static.ctonline.mx/imagenes/DDUKGT2330/DDUKGT2330_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2340,DDUKGT2340,SSD DC600M 2.5 KINGSTON 3840GB SEDC600M/3840G,SSD DC600M 2.5 KINGSTON 3840GB SEDC600M/3840G,SSD,d,1310.8,25560.6,1310.8,38340.9,38340.9,51121.2,35784.84,discos_duros,assets/img/catalog/discos_duros/DDUKGT2340.jpg,https://static.ctonline.mx/imagenes/DDUKGT2340/DDUKGT2340_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2300,DDUKGT2300,SSD DC600M 2.5 KINGSTON 7680GB SEDC600M/7680G,SSD DC600M 2.5 KINGSTON 7680GB SEDC600M/7680G,SSD,d,2401.8555555555554,46836.18,2401.8555555555554,70254.27,70254.27,93672.36,65570.65,discos_duros,assets/img/catalog/discos_duros/DDUKGT2300.jpg,https://static.ctonline.mx/imagenes/DDUKGT2300/DDUKGT2300_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2070,DDUKGT2070,SSD KC3000 PCIe NVMe M.2 KINGSTON 512GB SKC3000S/512G,SSD KC3000 PCIe NVMe M.2 KINGSTON 512GB SKC3000S/512G,SSD,d,158.61111111111111,3092.92,158.61111111111111,4639.38,4639.38,6185.84,4330.09,discos_duros,assets/img/catalog/discos_duros/DDUKGT2070.jpg,https://static.ctonline.mx/imagenes/DDUKGT2070/DDUKGT2070_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2080,DDUKGT2080,SSD KC3000 PCIe NVMe M.2 KINGSTON 1024GB SKC3000S/1024G,SSD KC3000 PCIe NVMe M.2 KINGSTON 1024GB SKC3000S/1024G,SSD,d,254.305,4958.95,254.305,7438.42,7438.42,9917.9,6942.53,discos_duros,assets/img/catalog/discos_duros/DDUKGT2080.jpg,https://static.ctonline.mx/imagenes/DDUKGT2080/DDUKGT2080_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2060,DDUKGT2060,SSD KC3000 PCIe NVMe M.2 KINGSTON 2048GB SKC3000D/2048G,SSD KC3000 PCIe NVMe M.2 KINGSTON 2048GB SKC3000D/2048G,SSD,d,417.40000000000003,8139.3,417.40000000000003,12208.95,12208.95,16278.6,11395.02,discos_duros,assets/img/catalog/discos_duros/DDUKGT2060.jpg,https://static.ctonline.mx/imagenes/DDUKGT2060/DDUKGT2060_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2090,DDUKGT2090,SSD KC3000 PCIe NVMe M.2 KINGSTON 4096GB SKC3000D/4096G,SSD KC3000 PCIe NVMe M.2 KINGSTON 4096GB SKC3000D/4096G,SSD,d,818.7,15964.65,818.7,23946.97,23946.97,31929.3,22350.51,discos_duros,assets/img/catalog/discos_duros/DDUKGT2090.jpg,https://static.ctonline.mx/imagenes/DDUKGT2090/DDUKGT2090_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2580,DDUKGT2580,SSD SFYRS M.2 KINGSTON 8192GB SFYR2D/8T1,SSD SFYRS M.2 KINGSTON 8192GB SFYR2D/8T1,SSD,d,1977.65,38564.18,1977.65,57846.27,57846.27,77128.36,53989.85,discos_duros,assets/img/catalog/discos_duros/DDUKGT2580.jpg,https://static.ctonline.mx/imagenes/DDUKGT2580/DDUKGT2580_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2590,DDUKGT2590,SSD DC600M 2.5 KINGSTON 480GB SEDC600ME/480G,SSD DC600M 2.5 KINGSTON 480GB SEDC600ME/480G,SSD,d,388.88888888888886,7583.33,388.88888888888886,11374.99,11374.99,15166.66,10616.66,discos_duros,assets/img/catalog/discos_duros/DDUKGT2590.jpg,https://static.ctonline.mx/imagenes/DDUKGT2590/DDUKGT2590_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2600,DDUKGT2600,SSD DC600M 2.5 KINGSTON 960GB SEDC600ME/960G,SSD DC600M 2.5 KINGSTON 960GB SEDC600ME/960G,SSD,d,589.4999999999999,11495.25,589.4999999999999,17242.88,17242.88,22990.5,16093.35,discos_duros,assets/img/catalog/discos_duros/DDUKGT2600.jpg,https://static.ctonline.mx/imagenes/DDUKGT2600/DDUKGT2600_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2610,DDUKGT2610,SSD DC600M 2.5 KINGSTON 1920GB SEDC600ME/1920G,SSD DC600M 2.5 KINGSTON 1920GB SEDC600ME/1920G,SSD,d,888.8888888888889,17333.33,888.8888888888889,26000.0,26000.0,34666.66,24266.66,discos_duros,assets/img/catalog/discos_duros/DDUKGT2610.jpg,https://static.ctonline.mx/imagenes/DDUKGT2610/DDUKGT2610_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2620,DDUKGT2620,SSD DC600M 2.5 KINGSTON 3840GB SEDC600ME/3840G,SSD DC600M 2.5 KINGSTON 3840GB SEDC600ME/3840G,SSD,d,2100.0555555555557,40951.08,2100.0555555555557,61426.62,61426.62,81902.16,57331.51,discos_duros,assets/img/catalog/discos_duros/DDUKGT2620.jpg,https://static.ctonline.mx/imagenes/DDUKGT2620/DDUKGT2620_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2630,DDUKGT2630,SSD DC600M 2.5 KINGSTON 7680GB SEDC600ME/7680G,SSD DC600M 2.5 KINGSTON 7680GB SEDC600ME/7680G,SSD,d,2407.15,46939.43,2407.15,70409.15,70409.15,93878.86,65715.2,discos_duros,assets/img/catalog/discos_duros/DDUKGT2630.jpg,https://static.ctonline.mx/imagenes/DDUKGT2630/DDUKGT2630_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2640,DDUKGT2640,SSD SPSD DUAL USB-A/C PORTABLE KINGSTON 512GB SPSD/512GB,SSD SPSD DUAL USB-A/C PORTABLE KINGSTON 512GB SPSD/512GB,SSD,d,126.60000000000001,2468.7,126.60000000000001,3703.05,3703.05,4937.4,3456.18,discos_duros,assets/img/catalog/discos_duros/DDUKGT2640.jpg,https://static.ctonline.mx/imagenes/DDUKGT2640/DDUKGT2640_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2650,DDUKGT2650,SSD SPSD DUAL USB-A/C PORTABLE KINGSTON 1TB SPSD/1TB,SSD SPSD DUAL USB-A/C PORTABLE KINGSTON 1TB SPSD/1TB,SSD,d,187.4,3654.3,187.4,5481.45,5481.45,7308.6,5116.02,discos_duros,assets/img/catalog/discos_duros/DDUKGT2650.jpg,https://static.ctonline.mx/imagenes/DDUKGT2650/DDUKGT2650_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2660,DDUKGT2660,SSD SPSD DUAL USB-A/C PORTABLE KINGSTON 2TB SPSD/2TB,SSD SPSD DUAL USB-A/C PORTABLE KINGSTON 2TB SPSD/2TB,SSD,d,311.6000000000001,6076.2,311.6000000000001,9114.3,9114.3,12152.4,8506.68,discos_duros,assets/img/catalog/discos_duros/DDUKGT2660.jpg,https://static.ctonline.mx/imagenes/DDUKGT2660/DDUKGT2660_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2030,DDUKGT2030,SSD KC600 mSATA KINGSTON 1024GB SKC600MS/1024G,SSD KC600 mSATA KINGSTON 1024GB SKC600MS/1024G,SSD,d,229.25,4470.38,229.25,6705.57,6705.57,8940.76,6258.53,discos_duros,assets/img/catalog/discos_duros/DDUKGT2030.jpg,https://static.ctonline.mx/imagenes/DDUKGT2030/DDUKGT2030_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2530,DDUKGT2530,SSD NV3 M.2 2230 PCIe 4.0 NVMe KINGSTON 500GB SNV3SM3/500G,SSD NV3 M.2 2230 PCIe 4.0 NVMe KINGSTON 500GB SNV3SM3/500G,SSD,d,122.22222222222221,2383.33,122.22222222222221,3574.99,3574.99,4766.66,3336.66,discos_duros,assets/img/catalog/discos_duros/DDUKGT2530.jpg,https://static.ctonline.mx/imagenes/DDUKGT2530/DDUKGT2530_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2540,DDUKGT2540,SSD NV3 M.2 2230 PCIe 4.0 NVMe KINGSTON 1000GB SNV3SM3/1T0,SSD NV3 M.2 2230 PCIe 4.0 NVMe KINGSTON 1000GB SNV3SM3/1T0,SSD,d,194.77777777777777,3798.17,194.77777777777777,5697.26,5697.26,7596.34,5317.44,discos_duros,assets/img/catalog/discos_duros/DDUKGT2540.jpg,https://static.ctonline.mx/imagenes/DDUKGT2540/DDUKGT2540_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2550,DDUKGT2550,SSD NV3 M.2 2230 PCIe 4.0 NVMe KINGSTON 2000GB SNV3SM3/2T0,SSD NV3 M.2 2230 PCIe 4.0 NVMe KINGSTON 2000GB SNV3SM3/2T0,SSD,d,333.95000000000005,6512.03,333.95000000000005,9768.05,9768.05,13024.06,9116.84,discos_duros,assets/img/catalog/discos_duros/DDUKGT2550.jpg,https://static.ctonline.mx/imagenes/DDUKGT2550/DDUKGT2550_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2500,DDUKGT2500,SSD SFYR2S M.2 KINGSTON 1024GB SFYR2S/1T0,SSD SFYR2S M.2 KINGSTON 1024GB SFYR2S/1T0,SSD,d,364.5,7107.75,364.5,10661.62,10661.62,14215.5,9950.85,discos_duros,assets/img/catalog/discos_duros/DDUKGT2500.jpg,https://static.ctonline.mx/imagenes/DDUKGT2500/DDUKGT2500_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2510,DDUKGT2510,SSD SFYRS M.2 KINGSTON 2048GB SFYR2S/2T0,SSD SFYRS M.2 KINGSTON 2048GB SFYR2S/2T0,SSD,d,524.75,10232.62,524.75,15348.93,15348.93,20465.24,14325.67,discos_duros,assets/img/catalog/discos_duros/DDUKGT2510.jpg,https://static.ctonline.mx/imagenes/DDUKGT2510/DDUKGT2510_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2520,DDUKGT2520,SSD SFYRS M.2 KINGSTON 4096GB SFYR2S/4T0,SSD SFYRS M.2 KINGSTON 4096GB SFYR2S/4T0,SSD,d,999.75,19495.12,999.75,29242.68,29242.68,38990.24,27293.17,discos_duros,assets/img/catalog/discos_duros/DDUKGT2520.jpg,https://static.ctonline.mx/imagenes/DDUKGT2520/DDUKGT2520_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2380,DDUKGT2380,SSD EXTERNO XS1000 KINGSTON 1000GB SXS1000/1000G,SSD EXTERNO XS1000 KINGSTON 1000GB SXS1000/1000G,SSD,d,188.44444444444443,3674.67,188.44444444444443,5512.01,5512.01,7349.34,5144.54,discos_duros,assets/img/catalog/discos_duros/DDUKGT2380.jpg,https://static.ctonline.mx/imagenes/DDUKGT2380/DDUKGT2380_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2390,DDUKGT2390,SSD EXTERNO XS1000 KINGSTON 2000GB SXS1000/2000G,SSD EXTERNO XS1000 KINGSTON 2000GB SXS1000/2000G,SSD,d,311.6111111111111,6076.42,311.6111111111111,9114.63,9114.63,12152.84,8506.99,discos_duros,assets/img/catalog/discos_duros/DDUKGT2390.jpg,https://static.ctonline.mx/imagenes/DDUKGT2390/DDUKGT2390_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2450,DDUKGT2450,SSD EXTERNO XS1000 RED KINGSTON 1000GB SXS1000R/1000G,SSD EXTERNO XS1000 RED KINGSTON 1000GB SXS1000R/1000G,SSD,d,187.4,3654.3,187.4,5481.45,5481.45,7308.6,5116.02,discos_duros,assets/img/catalog/discos_duros/DDUKGT2450.jpg,https://static.ctonline.mx/imagenes/DDUKGT2450/DDUKGT2450_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2460,DDUKGT2460,SSD EXTERNO XS1000 RED KINGSTON 2000GB SXS1000R/2000G,SSD EXTERNO XS1000 RED KINGSTON 2000GB SXS1000R/2000G,SSD,d,311.59999999999997,6076.2,311.59999999999997,9114.3,9114.3,12152.4,8506.68,discos_duros,assets/img/catalog/discos_duros/DDUKGT2460.jpg,https://static.ctonline.mx/imagenes/DDUKGT2460/DDUKGT2460_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUKGT2150,DDUKGT2150,SSD EXTERNO XS2000 KINGSTON 1000GB SXS2000/1000G,SSD EXTERNO XS2000 KINGSTON 1000GB SXS2000/1000G,SSD,d,176.85555555555553,3448.68,176.85555555555553,5173.02,5173.02,6897.36,4828.15,discos_duros,assets/img/catalog/discos_duros/DDUKGT2150.jpg,https://static.ctonline.mx/imagenes/DDUKGT2150/DDUKGT2150_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUDAT450,DDUDAT450,"Disco Duro Externo 2.5"" modelo HV620S 1TB USB 3.1, Carcasa elegante, brillante y portátil. Con ","Disco Duro Externo 2.5"" modelo HV620S 1TB USB 3.1, Carcasa elegante, brillante y portátil. Con compatibilidad universal de dispositivos. Color Negro.",CT,d,78.88888888888889,1538.33,78.88888888888889,2307.49,2307.49,3076.66,2153.66,discos_duros,assets/img/catalog/discos_duros/DDUDAT450.jpg,https://static.ctonline.mx/imagenes/DDUDAT450/DDUDAT450_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
