sku,nombre,descripcion_completa,categoria_ct,marca,costo_base,precio_mxn,precio_original,img,brand_logo,ficha_url,costo_proveedor_mxn,precio,precio_mayoreo_10pzs,margen_aplicado,img_local,img_cdn,categoria_clasificada,local_img
RELLEN1020,"Monitor Lenovo ThinkVision E20-30, 62F7KAR4LA, Pantalla 19.5"" (1600x900), HDMI, VGA, (HDMI cable), Color Negro, Garantía","Monitor Lenovo ThinkVision E20-30, 62F7KAR4LA, Pantalla 19.5"" (1600x900), HDMI, VGA, (HDMI cable), Color Negro, Garantía 3 Años Premier Support.",EQUIPOS DE MARCA,LENOVO,101.33,2667.6,3161.6,https://static.ctonline.mx/imagenes/RELLEN1020/RELLEN1020_400.jpg,https://static.ctonline.mx/marcas/png/LENOVO.png,https://ctonline.mx/buscar/productos?b=RELLEN1020,1976.0,2667.6,2371.2,35%,assets/img/catalog/RELLEN1020.jpg,https://static.ctonline.mx/imagenes/RELLEN1020/RELLEN1020_400.jpg,equipos_de_marca,https://static.ctonline.mx/imagenes/RELLEN1020/RELLEN1020_400.jpg
MONLEN1510,"Monitor Lenovo ThinkVision S24-4e 64B5KAR1LA, 23.8"" FHD (1920x1080) IPS display, Anti-glare 16:9. Resolución 1920x1080. ","Monitor Lenovo ThinkVision S24-4e 64B5KAR1LA, 23.8"" FHD (1920x1080) IPS display, Anti-glare 16:9. Resolución 1920x1080. Tiempo de respuesta de 4 ms, Color NEGRO, Garantía de 3 años, 1x HDMI® 1.4, 1x VGA. Peso de 4.7 Kg.",EQUIPOS DE MARCA,LENOVO,2410.53,63457.1,75208.42,https://static.ctonline.mx/imagenes/MONLEN1510/MONLEN1510_400.jpg,https://static.ctonline.mx/marcas/png/LENOVO.png,https://ctonline.mx/buscar/productos?b=MONLEN1510,47005.26,63457.1,56406.31,35%,assets/img/catalog/MONLEN1510.jpg,https://static.ctonline.mx/imagenes/MONLEN1510/MONLEN1510_400.jpg,equipos_de_marca,https://static.ctonline.mx/imagenes/MONLEN1510/MONLEN1510_400.jpg
MONLEN1480,"Monitor Lenovo ThinkVision T27-40 64A5MAR6LA, 27 pulgadas FHD display with IPS panel. Resolución 1920x1080. Tiempo de re","Monitor Lenovo ThinkVision T27-40 64A5MAR6LA, 27 pulgadas FHD display with IPS panel. Resolución 1920x1080. Tiempo de respuesta de 4 ms, Color NEGRO, Garantía de 3 años, 1x HDMI® 1.4, 1x DP 1.2, 1x VGA. Peso de 6.5 Kg.",EQUIPOS DE MARCA,LENOVO,4736.84,6394.73,7578.94,https://static.ctonline.mx/imagenes/MONLEN1480/MONLEN1480_400.jpg,https://static.ctonline.mx/marcas/png/LENOVO.png,https://ctonline.mx/buscar/productos?b=MONLEN1480,4736.84,6394.73,5684.21,35%,assets/img/catalog/MONLEN1480.jpg,https://static.ctonline.mx/imagenes/MONLEN1480/MONLEN1480_400.jpg,equipos_de_marca,https://static.ctonline.mx/imagenes/MONLEN1480/MONLEN1480_400.jpg
GABITL730,180917 Carrito de carga con 10 contactos de corriente alterna:  Almacena y carga de forma segura laptops y dispositivos ,"180917 Carrito de carga con 10 contactos de corriente alterna:  Almacena y carga de forma segura laptops y dispositivos de 15.6""; 10 tomas de NEMA 5-15R; Proteccion contra sobrecarga, sobrecorriente, cortocircuito y picos de tension; Cierre de puerta de 3 puntos o combinacion de 4 digitos; MEDIDAS: Largo (cm): 54.5, Ancho (cm): 50.5,Profundidad (cm): 53.5; Peso: 23Kg; Color: Negro; 3 Años de Garantia Directo con Fabricante",CONECTIVIDAD,180917,322.25,8483.31,10054.29,https://static.ctonline.mx/imagenes/GABITL730/GABITL730_400.jpg,https://static.ctonline.mx/marcas/png/180917.png,https://ctonline.mx/buscar/productos?b=GABITL730,6283.93,8483.31,7540.72,35%,assets/img/catalog/GABITL730.jpg,https://static.ctonline.mx/imagenes/GABITL730/GABITL730_400.jpg,equipos_de_marca,https://static.ctonline.mx/imagenes/GABITL730/GABITL730_400.jpg
CELLEN040,"Smartphone Lenovo ThinkPhone PAWN0011MX, Pantalla 6.6"", 256GB, RAM 8GB, Android 13. Color Negro","Smartphone Lenovo ThinkPhone PAWN0011MX, Pantalla 6.6"", 256GB, RAM 8GB, Android 13. Color Negro",ELECTRONICA DE CONSUMO,SMARTPHONE,6499.0,8773.65,10398.4,https://static.ctonline.mx/imagenes/CELLEN040/CELLEN040_400.jpg,https://static.ctonline.mx/marcas/png/SMARTPHONE.png,https://ctonline.mx/buscar/productos?b=CELLEN040,6499.0,8773.65,7798.8,35%,assets/img/catalog/CELLEN040.jpg,https://static.ctonline.mx/imagenes/CELLEN040/CELLEN040_400.jpg,equipos_de_marca,https://static.ctonline.mx/imagenes/CELLEN040/CELLEN040_400.jpg
ACCMTD470,Sistema de presentación interactivo Inalámbrico ESHOW marca Multimedia. Comparta contenido inalámbricamente desde comput,Sistema de presentación interactivo Inalámbrico ESHOW marca Multimedia. Comparta contenido inalámbricamente desde computadora de escritorio o laptop. Compatibilidad con dispositivos iOs / Android. Permite usar hasta 6 transmisores en diferentes equipos a la ves para enviar información,ELECTRONICA DE CONSUMO,SISTEMA,869.57,22891.32,27130.45,https://static.ctonline.mx/imagenes/ACCMTD470/ACCMTD470_400.jpg,https://static.ctonline.mx/marcas/png/SISTEMA.png,https://ctonline.mx/buscar/productos?b=ACCMTD470,16956.53,22891.32,20347.84,35%,assets/img/catalog/ACCMTD470.jpg,https://static.ctonline.mx/imagenes/ACCMTD470/ACCMTD470_400.jpg,equipos_de_marca,https://static.ctonline.mx/imagenes/ACCMTD470/ACCMTD470_400.jpg
PROQIA030,"Proyector Portátil LCD1280 X 720-120 Lúmenes, Bluetooth QIAN modelo QXP-EMHRA, Proyección ajustable corrección trapezoid","Proyector Portátil LCD1280 X 720-120 Lúmenes, Bluetooth QIAN modelo QXP-EMHRA, Proyección ajustable corrección trapezoidal y de cuatro puntos para imágenes impecables en tamaños de 30 a 248 pulgadas, Resolución nativa de 1280x720 y brillo de 5500 lúmenes (120 ANSI) para colores vibrantes y detalles nítidos, Altavoz de 5W para un audio claro y potente sin necesidad de altavoces externos, Proyecta desde cualquier dispositivo y accede a apps como Netflix y YouTube directamente desde el proyector, Conecta TV Sticks, consolas, laptops, smartphones y más para disfrutar de una experiencia multimedia sin límites. Color: Negro. Garantía: 1 año.",ELECTRONICA DE CONSUMO,PROYECTOR,76.43,2011.99,2384.58,https://static.ctonline.mx/imagenes/PROQIA030/PROQIA030_400.jpg,https://static.ctonline.mx/marcas/png/PROYECTOR.png,https://ctonline.mx/buscar/productos?b=PROQIA030,1490.36,2011.99,1788.43,35%,assets/img/catalog/PROQIA030.jpg,https://static.ctonline.mx/imagenes/PROQIA030/PROQIA030_400.jpg,equipos_de_marca,https://static.ctonline.mx/imagenes/PROQIA030/PROQIA030_400.jpg
LCTSYB020,Lector de Código de Barras INALAMBRICO 2D Linear Imager con gatillo. Marca SYBLE Modelo 6266MBT-2D ( XB-6266MBT ). Compa,"Lector de Código de Barras INALAMBRICO 2D Linear Imager con gatillo. Marca SYBLE Modelo 6266MBT-2D ( XB-6266MBT ). Compatible con sistemas Bluetooth, se puede utilizar con la base incorporada, o bien, con dispositivos receptores de Bluetooth (PC’s, Laptops, Tabletas, Smartphones, etc). Conexión a sistemas IOS, Linux, Android, Windows. Sellado IP54 y soporta caídas de 1.8m al concreto. Simbologías Soportadas : ( 2D :  QR Code, PDF417, Micro QR )  (1D : EAN-13, EAN-8, UPC-A, UPC-E, ISSN, ISBN, Codabar, Code 128, Code 93, ITF-6, ITF-14, Interleaved 2 of 5, Industrial 2 of 5, Standard 2 of 5, Matrix 2 of 5, GS1 Databar, Code 39, Code 11, MSI-Plessey, Plessey, etc ). Garantía: 2 años con el fabricante. Color: Negro.  ** Incluye Base de comunicacion y carga **",PUNTO DE VENTA,LECTOR,159.09,4188.06,4963.63,https://static.ctonline.mx/imagenes/LCTSYB020/LCTSYB020_400.jpg,https://static.ctonline.mx/marcas/png/LECTOR.png,https://ctonline.mx/buscar/productos?b=LCTSYB020,3102.27,4188.06,3722.72,35%,assets/img/catalog/LCTSYB020.jpg,https://static.ctonline.mx/imagenes/LCTSYB020/LCTSYB020_400.jpg,equipos_de_marca,https://static.ctonline.mx/imagenes/LCTSYB020/LCTSYB020_400.jpg
ACCETI350,"Etiqueta de polipropileno 4000D (10010063) Térmica Directa, Medidas 2.25"" x 1.25"", 2000 etiquetas por rollo, caja con 6 ","Etiqueta de polipropileno 4000D (10010063) Térmica Directa, Medidas 2.25"" x 1.25"", 2000 etiquetas por rollo, caja con 6 rollos. Compatible con equipos Desktop.  *** NO ES NECESARIO UTILIZAR RIBBON ***",PUNTO DE VENTA,ETIQUETA,149.46,3934.43,4663.02,https://static.ctonline.mx/imagenes/ACCETI350/ACCETI350_400.jpg,https://static.ctonline.mx/marcas/png/ETIQUETA.png,https://ctonline.mx/buscar/productos?b=ACCETI350,2914.39,3934.43,3497.27,35%,assets/img/catalog/ACCETI350.jpg,https://static.ctonline.mx/imagenes/ACCETI350/ACCETI350_400.jpg,equipos_de_marca,https://static.ctonline.mx/imagenes/ACCETI350/ACCETI350_400.jpg
ACCNCB480,"Base enfriadora para laptop NACEB NA-637, Elevación de 5 etapas, cuenta con malla de acero diseñada ára acelerar el fluj","Base enfriadora para laptop NACEB NA-637, Elevación de 5 etapas, cuenta con malla de acero diseñada ára acelerar el flujo de aire, diseño antideslisable, soporta una laptop de hasta 17"", color negro con Led Azul.",ACCESORIOS,BASE,185.71,4888.93,5794.29,https://static.ctonline.mx/imagenes/ACCNCB480/ACCNCB480_400.jpg,https://static.ctonline.mx/marcas/png/BASE.png,https://ctonline.mx/buscar/productos?b=ACCNCB480,3621.43,4888.93,4345.72,35%,assets/img/catalog/ACCNCB480.jpg,https://static.ctonline.mx/imagenes/ACCNCB480/ACCNCB480_400.jpg,equipos_de_marca,https://static.ctonline.mx/imagenes/ACCNCB480/ACCNCB480_400.jpg
