sku,nombre,descripcion_completa,categoria_ct,marca,costo_base,precio_mxn,precio_original,img,brand_logo,ficha_url,costo_proveedor_mxn,precio,precio_mayoreo_10pzs,margen_aplicado,img_local,img_cdn,categoria_clasificada
CARCNN1230,Cartucho de Tinta Canon PG-140 XL (5200B001AB) Negro. Contenido: 11ml. Rendimiento: 300 págs. Modelos Compatibles: MG211,"Cartucho de Tinta Canon PG-140 XL (5200B001AB) Negro. Contenido: 11ml. Rendimiento: 300 págs. Modelos Compatibles: MG2110, MG2210, MG3110, MG3210, MG3510, MG3610, MG4110, MG4210, MX371, MX391, MX431, MX451, MX471, MX511, MX521, MX531.",CONSUMIBLES,CARTUCHO,616.84,16238.37,20297.96,https://static.ctonline.mx/imagenes/CARCNN1230/CARCNN1230_400.jpg,https://static.ctonline.mx/marcas/png/CARTUCHO.png,https://ctonline.mx/buscar/productos?b=CARCNN1230,12028.42,16238.37,15426.45,35%,assets/img/catalog/CARCNN1230.jpg,https://static.ctonline.mx/imagenes/CARCNN1230/CARCNN1230_400.jpg,impresoras_consumibles
CARCNN1810,Cartucho de Tinta Canon PG-145 XL BK (8274B001AA) Negro. Contenido: 12ml. Rendimiento: 300 págs. Modelos Compatibles: MX,"Cartucho de Tinta Canon PG-145 XL BK (8274B001AA) Negro. Contenido: 12ml. Rendimiento: 300 págs. Modelos Compatibles: MX491, MG2410, MG2510, MG2910, iP2810.",CONSUMIBLES,CARTUCHO,524.21,13799.84,17249.8,https://static.ctonline.mx/imagenes/CARCNN1810/CARCNN1810_400.jpg,https://static.ctonline.mx/marcas/png/CARTUCHO.png,https://ctonline.mx/buscar/productos?b=CARCNN1810,10222.1,13799.84,13109.85,35%,assets/img/catalog/CARCNN1810.jpg,https://static.ctonline.mx/imagenes/CARCNN1810/CARCNN1810_400.jpg,impresoras_consumibles
CARCNN1800,Cartucho de Tinta Canon CL-146 XL CLR (8276B001AA) Color. Contenido: 13ml. Rendimiento: 300 págs. Modelos Compatibles: M,"Cartucho de Tinta Canon CL-146 XL CLR (8276B001AA) Color. Contenido: 13ml. Rendimiento: 300 págs. Modelos Compatibles: MX491, MG2410, MG2510, MG2910, iP2810.",CONSUMIBLES,CARTUCHO,655.79,17263.66,21579.58,https://static.ctonline.mx/imagenes/CARCNN1800/CARCNN1800_400.jpg,https://static.ctonline.mx/marcas/png/CARTUCHO.png,https://ctonline.mx/buscar/productos?b=CARCNN1800,12787.9,17263.66,16400.48,35%,assets/img/catalog/CARCNN1800.jpg,https://static.ctonline.mx/imagenes/CARCNN1800/CARCNN1800_400.jpg,impresoras_consumibles
CARCNN5100,Tanque de Tinta Canon PFI-1000 MBK (0545C003AA) Negro. Contenido: 80ml. Modelos Compatibles: PRO-1000.,Tanque de Tinta Canon PFI-1000 MBK (0545C003AA) Negro. Contenido: 80ml. Modelos Compatibles: PRO-1000.,CONSUMIBLES,TANQUE,1203.16,31673.13,39591.41,https://static.ctonline.mx/imagenes/CARCNN5100/CARCNN5100_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN5100,23461.58,31673.13,30089.47,35%,assets/img/catalog/CARCNN5100.jpg,https://static.ctonline.mx/imagenes/CARCNN5100/CARCNN5100_400.jpg,impresoras_consumibles
CARCNN5110,Tanque de Tinta Canon PFI-1000 PBK (0546C003AA) Negro. Contenido: 80ml. Modelos Compatibles: PRO-1000.,Tanque de Tinta Canon PFI-1000 PBK (0546C003AA) Negro. Contenido: 80ml. Modelos Compatibles: PRO-1000.,CONSUMIBLES,TANQUE,1203.16,31673.13,39591.41,https://static.ctonline.mx/imagenes/CARCNN5110/CARCNN5110_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN5110,23461.58,31673.13,30089.47,35%,assets/img/catalog/CARCNN5110.jpg,https://static.ctonline.mx/imagenes/CARCNN5110/CARCNN5110_400.jpg,impresoras_consumibles
CARCNN5120,Tanque de Tinta Canon PFI-1000 C (0547C003AA) Cian. Contenido: 80ml. Modelos Compatibles: PRO-1000.,Tanque de Tinta Canon PFI-1000 C (0547C003AA) Cian. Contenido: 80ml. Modelos Compatibles: PRO-1000.,CONSUMIBLES,TANQUE,1203.16,31673.13,39591.41,https://static.ctonline.mx/imagenes/CARCNN5120/CARCNN5120_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN5120,23461.58,31673.13,30089.47,35%,assets/img/catalog/CARCNN5120.jpg,https://static.ctonline.mx/imagenes/CARCNN5120/CARCNN5120_400.jpg,impresoras_consumibles
CARCNN5130,Tanque de Tinta Canon PFI-1000 M (0548C003AA) Magenta. Contenido: 80ml. Modelos Compatibles: PRO-1000.,Tanque de Tinta Canon PFI-1000 M (0548C003AA) Magenta. Contenido: 80ml. Modelos Compatibles: PRO-1000.,CONSUMIBLES,TANQUE,1203.16,31673.13,39591.41,https://static.ctonline.mx/imagenes/CARCNN5130/CARCNN5130_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN5130,23461.58,31673.13,30089.47,35%,assets/img/catalog/CARCNN5130.jpg,https://static.ctonline.mx/imagenes/CARCNN5130/CARCNN5130_400.jpg,impresoras_consumibles
CARCNN5140,Tanque de Tinta Canon PFI-1000 Y (0549C003AA) Amarillo. Contenido: 80ml. Modelos Compatibles: PRO-1000.,Tanque de Tinta Canon PFI-1000 Y (0549C003AA) Amarillo. Contenido: 80ml. Modelos Compatibles: PRO-1000.,CONSUMIBLES,TANQUE,1203.16,31673.13,39591.41,https://static.ctonline.mx/imagenes/CARCNN5140/CARCNN5140_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN5140,23461.58,31673.13,30089.47,35%,assets/img/catalog/CARCNN5140.jpg,https://static.ctonline.mx/imagenes/CARCNN5140/CARCNN5140_400.jpg,impresoras_consumibles
CARCNN5150,Tanque de Tinta Canon PFI-1000 PC (0550C003AA) Photo Cian. Contenido: 80ml. Modelos Compatibles: PRO-1000.,Tanque de Tinta Canon PFI-1000 PC (0550C003AA) Photo Cian. Contenido: 80ml. Modelos Compatibles: PRO-1000.,CONSUMIBLES,TANQUE,1203.16,31673.13,39591.41,https://static.ctonline.mx/imagenes/CARCNN5150/CARCNN5150_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN5150,23461.58,31673.13,30089.47,35%,assets/img/catalog/CARCNN5150.jpg,https://static.ctonline.mx/imagenes/CARCNN5150/CARCNN5150_400.jpg,impresoras_consumibles
CARCNN5160,Tanque de Tinta Canon PFI-1000 PM (0551C003AA) Photo Magenta. Contenido: 80ml. Modelos Compatibles: PRO-1000.,Tanque de Tinta Canon PFI-1000 PM (0551C003AA) Photo Magenta. Contenido: 80ml. Modelos Compatibles: PRO-1000.,CONSUMIBLES,TANQUE,1203.16,31673.13,39591.41,https://static.ctonline.mx/imagenes/CARCNN5160/CARCNN5160_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN5160,23461.58,31673.13,30089.47,35%,assets/img/catalog/CARCNN5160.jpg,https://static.ctonline.mx/imagenes/CARCNN5160/CARCNN5160_400.jpg,impresoras_consumibles
