sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,placeholder,garantia,disponibilidad_gdl
ACCMVA1240,ACCMVA1240,Pinzas Ponchadoras de RJ45 ENSON ENS-NT02,Pinzas Ponchadoras de RJ45 ENSON ENS-NT02,RJ45,d,6.136363636363637,119.66,6.14,179.49,179.49,239.32,167.52,143.59,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCMVA1240.jpg,https://static.ctonline.mx/imagenes/ACCMVA1240/ACCMVA1240_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCMVA950,ACCMVA950,Placa de pared universal 1 puerto ENSON ENS-FP61 sin Jack,Placa de pared universal 1 puerto ENSON ENS-FP61 sin Jack,CT,d,0.6136363636363636,11.97,0.61,17.96,17.96,23.94,16.76,14.36,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCMVA950.jpg,https://static.ctonline.mx/imagenes/ACCMVA950/ACCMVA950_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCMVA960,ACCMVA960,Placa de pared universal 2 puertos ENSON ENS-FP62 sin Jack,Placa de pared universal 2 puertos ENSON ENS-FP62 sin Jack,CT,d,0.625,12.19,0.62,18.29,18.29,24.38,17.07,14.63,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCMVA960.jpg,https://static.ctonline.mx/imagenes/ACCMVA960/ACCMVA960_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCMVA1010,ACCMVA1010,Conector Plug SRJ45 Blindado Cat6 ENSON ENS-SRJ45-CAT6,Conector Plug SRJ45 Blindado Cat6 ENSON ENS-SRJ45-CAT6,SRJ45,d,0.20454545454545453,3.99,0.2,5.99,5.99,7.98,5.59,4.79,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCMVA1010.jpg,https://static.ctonline.mx/imagenes/ACCMVA1010/ACCMVA1010_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCMVA930,ACCMVA930,"Conector Plug SRJ45 Blindado Cat5e ENSON ENS-SRJ45-CAT5E. Conductores calibre 24 AWG, Fácil ins","Conector Plug SRJ45 Blindado Cat5e ENSON ENS-SRJ45-CAT5E. Conductores calibre 24 AWG, Fácil instalación, excelente desempeño.",SRJ45,d,0.13636363636363635,2.66,0.14,3.99,3.99,5.32,3.72,3.19,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCMVA930.jpg,https://static.ctonline.mx/imagenes/ACCMVA930/ACCMVA930_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCMVA850,ACCMVA850,Caja Plástica ENSON ENS-PCB1010 100X100X50 Sello de Goma IP55,Caja Plástica ENSON ENS-PCB1010 100X100X50 Sello de Goma IP55,ENSON,d,2.125,41.44,2.12,62.16,62.16,82.88,58.02,49.73,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCMVA850.jpg,https://static.ctonline.mx/imagenes/ACCMVA850/ACCMVA850_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCMVA1100,ACCMVA1100,Gabinete para Sirena 15W LINCE10,Gabinete para Sirena 15W LINCE10,15W,d,12.613636363636363,245.97,12.61,368.95,368.95,491.94,344.36,295.16,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCMVA1100.jpg,https://static.ctonline.mx/imagenes/ACCMVA1100/ACCMVA1100_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCMVA1110,ACCMVA1110,Gabinete para Sirena 30W LINCE11,Gabinete para Sirena 30W LINCE11,30W,d,12.5,243.75,12.5,365.62,365.62,487.5,341.25,292.5,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCMVA1110.jpg,https://static.ctonline.mx/imagenes/ACCMVA1110/ACCMVA1110_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
GABMVA010,GABMVA010,Gabinete de Pared ENSON ENS-RKGB12U 12U Ensamblado 600X450MM,Gabinete de Pared ENSON ENS-RKGB12U 12U Ensamblado 600X450MM,ENSON,d,138.01136363636363,2691.22,138.01,4036.83,4036.83,5382.44,3767.71,3229.46,conectividad_redes,./assets/img/catalog/conectividad_redes/GABMVA010.jpg,https://static.ctonline.mx/imagenes/GABMVA010/GABMVA010_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
GABMVA020,GABMVA020,Gabinete de Pared ENSON ENS-RKGB6U 6U Ensamblado 600X450MM,Gabinete de Pared ENSON ENS-RKGB6U 6U Ensamblado 600X450MM,ENSON,d,75.0,1462.5,75.0,2193.75,2193.75,2925.0,2047.5,1755.0,conectividad_redes,./assets/img/catalog/conectividad_redes/GABMVA020.jpg,https://static.ctonline.mx/imagenes/GABMVA020/GABMVA020_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
