sku,nombre,descripcion_completa,categoria_ct,marca,costo_base,precio_mxn,precio_original,img,brand_logo,ficha_url,costo_proveedor_mxn,precio,precio_mayoreo_10pzs,margen_aplicado,img_local,img_cdn,categoria_clasificada
CABRBT3380,"CABLE USB V2.0 TIPO ""C"" FAST CHARGING, PVC, 1.0 M, AQUA (6000946), Brobotix Con el nuevo Cable USB V2.0 Tipo ""C"" de Carg","CABLE USB V2.0 TIPO ""C"" FAST CHARGING, PVC, 1.0 M, AQUA (6000946), Brobotix Con el nuevo Cable USB V2.0 Tipo ""C"" de Carga Rápida BRobotix, podrás cargar la batería de tu celular o dispositivo móvil a donde quiera que vayas. ¡Cárgalo en todas partes! Su alta tecnología te permitirá una carga más veloz a la convencional, sólo conéctalo con un cargador (también carga rápida) a una toma de corriente y listo. Ideal para personas con un estilo de vida activo. 1 Conector USB V2.0. 1 Conector Tipo ""C"". Puntas de acero reforzado. Forro: PVC. Longitud del cable: 1 metro. Especificaciones: Compatible con Smartphones, Tabletas y dispositivos portátiles. Materiales de calidad y resistencia. Rápida transmisión de datos ""Carga rápida"". 100% flexible. Color: AQUA",ACCESORIOS,CABLE,2.83,74.46,93.07,https://static.ctonline.mx/imagenes/CABRBT3380/CABRBT3380_400.jpg,https://static.ctonline.mx/marcas/png/CABLE.png,https://ctonline.mx/buscar/productos?b=CABRBT3380,55.15,74.46,70.74,35%,assets/img/catalog/CABRBT3380.jpg,https://static.ctonline.mx/imagenes/CABRBT3380/CABRBT3380_400.jpg,punto_de_venta
CABRBT3620,"CABLE USB V2.0 TIPO ""A"" - MICRO ""B"", 0.3 METROS (6005354), Brobotix  1 Conector USB V2.0 Tipo ""A"".
1 Conector USB V2.0 M","CABLE USB V2.0 TIPO ""A"" - MICRO ""B"", 0.3 METROS (6005354), Brobotix  1 Conector USB V2.0 Tipo ""A"".
1 Conector USB V2.0 Micro ""B"". Puntas de acero reforzado. Conecta dispositivos con entrada Micro ""B"", por ejemplo HUBs, reproductores de MP3 y algunos smartphones. Presentación en Bolsa. Especificaciones: Compatible con Smartphones, Tabletas y dispositivos portátiles. Materiales de calidad y resistencia. Rápida transmisión de datos. 100% flexible. Color: Negro",ACCESORIOS,CABLE,1.62,42.55,53.19,https://static.ctonline.mx/imagenes/CABRBT3620/CABRBT3620_400.jpg,https://static.ctonline.mx/marcas/png/CABLE.png,https://ctonline.mx/buscar/productos?b=CABRBT3620,31.52,42.55,40.42,35%,assets/img/catalog/CABRBT3620.jpg,https://static.ctonline.mx/imagenes/CABRBT3620/CABRBT3620_400.jpg,punto_de_venta
CABRBT2910,"CABLE STEREO DE NYLON, MACHO - MACHO, 1 M, NEGRO (651336), Brobotix Conecta tus equipos de sonido para que tu música sig","CABLE STEREO DE NYLON, MACHO - MACHO, 1 M, NEGRO (651336), Brobotix Conecta tus equipos de sonido para que tu música siga sonando a un máximo rendimiento. Por su longitud, este práctico cable te permite holgura y flexibilidad. Disfruta tu música desde tu dispositivo móvil a través de un sistema estéreo, bocinas, el auto y más. Este cable de máximo rendimiento conecta todos tus dispositivos sin problemas para generar un sonido en alta definición y sin interferencias. 3.5 mm Estéreo Macho a Macho. Cable de Nylon. Longitud del cable: 1 metro. Especificaciones: Transmisiones claras y nítidas. Evita las interferencias. Máximo rendimiento. Color: Negro",ACCESORIOS,CABLE,1.22,32.17,40.21,https://static.ctonline.mx/imagenes/CABRBT2910/CABRBT2910_400.jpg,https://static.ctonline.mx/marcas/png/CABLE.png,https://ctonline.mx/buscar/productos?b=CABRBT2910,23.83,32.17,30.56,35%,assets/img/catalog/CABRBT2910.jpg,https://static.ctonline.mx/imagenes/CABRBT2910/CABRBT2910_400.jpg,punto_de_venta
CABRBT2250,"CABLE STEREO M-M 1.0 M, PUNTA GIRATORIA 180º (764656), Brobotix. Conecta tus equipos de sonido para que tu música siga s","CABLE STEREO M-M 1.0 M, PUNTA GIRATORIA 180º (764656), Brobotix. Conecta tus equipos de sonido para que tu música siga sonando a un máximo rendimiento. Por su longitud, este práctico cable te permite holgura y flexibilidad. Además, cuenta con una punta de ángulo ajustable gracias a su giro de 180º.Disfruta tu música desde tu dispositivo móvil a través de un sistema estéreo, bocinas, el auto y más, ¡Tiene que ser tuyo! -  Conectores 3.5 mm Estéreo Macho a Macho Conectores TRRS (3 rayas), para audio y micrófono. 1 punta con ángulo ajustable, giro de 180º Cable de PVC Longitud del cable: 1.0 metros . Color: Negro",ACCESORIOS,CABLE,1.91,50.3,62.88,https://static.ctonline.mx/imagenes/CABRBT2250/CABRBT2250_400.jpg,https://static.ctonline.mx/marcas/png/CABLE.png,https://ctonline.mx/buscar/productos?b=CABRBT2250,37.26,50.3,47.78,35%,assets/img/catalog/CABRBT2250.jpg,https://static.ctonline.mx/imagenes/CABRBT2250/CABRBT2250_400.jpg,punto_de_venta
CABRBT2000,"CABLE STEREO M-M 1.3MTS PVC BROBOTIX NEGRO (170726N), Brobotix Conecta tus equipos de sonido para que tu música siga son","CABLE STEREO M-M 1.3MTS PVC BROBOTIX NEGRO (170726N), Brobotix Conecta tus equipos de sonido para que tu música siga sonando a un máximo rendimiento. Por su longitud, este práctico cable te permite holgura y flexibilidad. ¡Tiene que ser tuyo!- Materiales de alta calidad. Transmisiones clara y nítidas. Evita las interferencias. Máximo rendimiento. Color: Negro",ACCESORIOS,CABLE,1.22,32.17,40.21,https://static.ctonline.mx/imagenes/CABRBT2000/CABRBT2000_400.jpg,https://static.ctonline.mx/marcas/png/CABLE.png,https://ctonline.mx/buscar/productos?b=CABRBT2000,23.83,32.17,30.56,35%,assets/img/catalog/CABRBT2000.jpg,https://static.ctonline.mx/imagenes/CABRBT2000/CABRBT2000_400.jpg,punto_de_venta
CABRBT3260,"CABLE STEREO MACHO A MACHO DE 1.8 METROS (105816), Brobotix Conecta tus equipos de sonido para que tu música siga sonand","CABLE STEREO MACHO A MACHO DE 1.8 METROS (105816), Brobotix Conecta tus equipos de sonido para que tu música siga sonando a un máximo rendimiento. Por su longitud, este práctico cable te permite holgura y flexibilidad. Disfruta tu música desde tu dispositivo móvil a través de un sistema estéreo, bocinas, el auto y más.  Conectores 3.5 mm Estéreo, Macho a Macho. Cable de PVC Longitud del cable: 1.8 metrosColor Negro. Especificaciones: Materiales de alta calidad. Transmisiones claras y nítidas. Evita las interferencias. Máximo rendimiento. Color: Negro.",ACCESORIOS,CABLE,1.66,43.76,54.7,https://static.ctonline.mx/imagenes/CABRBT3260/CABRBT3260_400.jpg,https://static.ctonline.mx/marcas/png/CABLE.png,https://ctonline.mx/buscar/productos?b=CABRBT3260,32.42,43.76,41.57,35%,assets/img/catalog/CABRBT3260.jpg,https://static.ctonline.mx/imagenes/CABRBT3260/CABRBT3260_400.jpg,punto_de_venta
ACCRBT2270,"CARGADOR LIGHTNING ACERO (161219), Brobotix Conecta tus dispositivos iOS con este cable para transferir datos, sincroniz","CARGADOR LIGHTNING ACERO (161219), Brobotix Conecta tus dispositivos iOS con este cable para transferir datos, sincronizarlos o cargarlos. Al ser de acero es súper resistente y flexible. Color: Acero.",ACCESORIOS,CARGADOR,2.73,71.95,89.94,https://static.ctonline.mx/imagenes/ACCRBT2270/ACCRBT2270_400.jpg,https://static.ctonline.mx/marcas/png/CARGADOR.png,https://ctonline.mx/buscar/productos?b=ACCRBT2270,53.3,71.95,68.35,35%,assets/img/catalog/ACCRBT2270.jpg,https://static.ctonline.mx/imagenes/ACCRBT2270/ACCRBT2270_400.jpg,punto_de_venta
ACCRBT4130,"ADAPTADOR HDMI HEMBRA A HDMI HEMBRA. (104635), Brobotix, De forma acodada (ángulo de 90 grados) que lo hacen ideal para ","ADAPTADOR HDMI HEMBRA A HDMI HEMBRA. (104635), Brobotix, De forma acodada (ángulo de 90 grados) que lo hacen ideal para prolongar el conector cuando se tienen problemas de acceso o conexión con un dispositivo. Especificaciones: Adaptador HDMI (Tipo A) con conector hembra en un extremo y hembra en el otro. Color: Negro",ACCESORIOS,ADAPTADOR,3.08,81.02,101.27,https://static.ctonline.mx/imagenes/ACCRBT4130/ACCRBT4130_400.jpg,https://static.ctonline.mx/marcas/png/ADAPTADOR.png,https://ctonline.mx/buscar/productos?b=ACCRBT4130,60.02,81.02,76.97,35%,assets/img/catalog/ACCRBT4130.jpg,https://static.ctonline.mx/imagenes/ACCRBT4130/ACCRBT4130_400.jpg,punto_de_venta
CABRBT3270,"CABLE USB V2.0 TIPO ""A"" - MICRO ""B"", 0.9 M (774003), Brobotix Los Cables USB V2.0 Micro ""B"" BRobotix te permiten conecta","CABLE USB V2.0 TIPO ""A"" - MICRO ""B"", 0.9 M (774003), Brobotix Los Cables USB V2.0 Micro ""B"" BRobotix te permiten conectar tus dispositivos para transferir datos, sincronizarlos o cargarlos. Conecta tus dispositivos favoritos: MP3, celulares, cámaras, etc. a tu PC y comparte música, fotos y archivos.1 Conector USB V2.0 Tipo ""A"". 1 Conector USB V2.0 Micro ""B"". Puntas de acero reforzado. Conecta dispositivos con entrada Micro ""B"", por ejemplo HUBs, reproductores de MP3 y algunos smartphones. Presentación en Bolsa. Especificaciones: Compatible con Smartphones, Tabletas y dispositivos portátiles. Materiales de calidad y resistencia. Rápida transmisión de datos. 100% flexible. Color: Negro.",ACCESORIOS,CABLE,1.32,34.75,43.44,https://static.ctonline.mx/imagenes/CABRBT3270/CABRBT3270_400.jpg,https://static.ctonline.mx/marcas/png/CABLE.png,https://ctonline.mx/buscar/productos?b=CABRBT3270,25.74,34.75,33.01,35%,assets/img/catalog/CABRBT3270.jpg,https://static.ctonline.mx/imagenes/CABRBT3270/CABRBT3270_400.jpg,punto_de_venta
CABRBT3280,"CABLE USB V2.0 A MICRO DE PVC TEXTURIZADO DE 125 CMS. AZUL (161208A), Brobotix Por su longitud y flexibilidad, este cabl","CABLE USB V2.0 A MICRO DE PVC TEXTURIZADO DE 125 CMS. AZUL (161208A), Brobotix Por su longitud y flexibilidad, este cable es el ideal para transmitir tus datos o recargar tus dispositivos de USB a Micro. Sus puntas son de acero reforzado que lo convierte en un cable de alta resistencia.  Extremo USB 2.0. Extremo Micro 2.0. Puntas de acero reforzado. Material: PVC texturizado. Longitud: 125 cms. Especificaciones: Compatibilidad con todo tipo de dispositivos afines. Materiales de alta calidad y resistencia. Rápida transmisión de datos. Color: Azul.",ACCESORIOS,CABLE,1.28,33.64,42.05,https://static.ctonline.mx/imagenes/CABRBT3280/CABRBT3280_400.jpg,https://static.ctonline.mx/marcas/png/CABLE.png,https://ctonline.mx/buscar/productos?b=CABRBT3280,24.92,33.64,31.96,35%,assets/img/catalog/CABRBT3280.jpg,https://static.ctonline.mx/imagenes/CABRBT3280/CABRBT3280_400.jpg,punto_de_venta
