sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,placeholder,garantia,disponibilidad_gdl,vigencia_precios,clausula_precios
COMTOS5370,COMTOS5370,"Computadora portátil TOSHIBA Satellite Pro C40-H, PYS36U-05S06S, Intel Core i3-1005G1 processor","Computadora portátil TOSHIBA Satellite Pro C40-H, PYS36U-05S06S, Intel Core i3-1005G1 processor 4.70 GHz, 14.0"" HD, Ram 4 GB DDR4 3200 MHZ, Almacenamiento: 256 GB PCIe NVMe SSD, 2 x USB 4.0, 1 x USB-C, 1 x HDMI, 1 x RJ-45, microSD Card Slo, Pantalla (diagonal): 14.0"", Native Resolution: HD 1366 x 768, HD 720p Webcam with Privacy Shutter, Bluetooth, SO: Windows 10 Home Spanish, Garantía: 1 año directo en Centro de Servicio.",TOSHIBA,d,463.9175257731959,9046.39,463.92,10855.67,10855.67,14474.23,10403.35,10855.67,outlet_liquidaciones,./assets/img/catalog/outlet_liquidaciones/COMTOS5370.jpg,https://static.ctonline.mx/imagenes/COMTOS5370/COMTOS5370_400.jpg,./assets/img/placeholders/outlet_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
ACCHPB010,ACCHPB010,Hands Free HP Bluethooth 5220.,Hands Free HP Bluethooth 5220.,CT,m,150.0,150.0,7.69,180.0,180.0,240.0,172.5,180.0,outlet_liquidaciones,./assets/img/catalog/outlet_liquidaciones/ACCHPB010.jpg,https://static.ctonline.mx/imagenes/ACCHPB010/ACCHPB010_400.jpg,./assets/img/placeholders/outlet_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
ACCHPD130,ACCHPD130,Extensión de Garantía U9810E Hp 3 años de soporte HW Next Day Exchange al siguiente día hábil.,Extensión de Garantía U9810E Hp 3 años de soporte HW Next Day Exchange al siguiente día hábil.,U9810E,m,100.0,100.0,5.13,120.0,120.0,160.0,115.0,120.0,outlet_liquidaciones,./assets/img/catalog/outlet_liquidaciones/ACCHPD130.jpg,https://static.ctonline.mx/imagenes/ACCHPD130/ACCHPD130_400.jpg,./assets/img/placeholders/outlet_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
ACCHPD265,ACCHPD265,Combo Micrófono y Web Cam WB9181A.,Combo Micrófono y Web Cam WB9181A.,CT,m,99.0,99.0,5.08,118.8,118.8,158.4,113.85,118.8,outlet_liquidaciones,./assets/img/catalog/outlet_liquidaciones/ACCHPD265.jpg,https://static.ctonline.mx/imagenes/ACCHPD265/ACCHPD265_400.jpg,./assets/img/placeholders/outlet_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
SOFNRT080,SOFNRT080,NORTON ANTIVIRUS 2004 5 PACK (1año),NORTON ANTIVIRUS 2004 5 PACK (1año),NORTON,d,2.0,39.0,2.0,46.8,46.8,62.4,44.85,46.8,outlet_liquidaciones,./assets/img/catalog/outlet_liquidaciones/SOFNRT080.jpg,https://static.ctonline.mx/imagenes/SOFNRT080/SOFNRT080_400.jpg,./assets/img/placeholders/outlet_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
MEMRAM080,MEMRAM080,DDR 400MHZ PC3200 128MB marca Super Talent,DDR 400MHZ PC3200 128MB marca Super Talent,DDR,d,2.0,39.0,2.0,46.8,46.8,62.4,44.85,46.8,outlet_liquidaciones,./assets/img/catalog/outlet_liquidaciones/MEMRAM080.jpg,https://static.ctonline.mx/imagenes/MEMRAM080/MEMRAM080_400.jpg,./assets/img/placeholders/outlet_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
MEMRAM720,MEMRAM720,MEMORIA DDR 512MB PC2100 DE 266 ECC REG,MEMORIA DDR 512MB PC2100 DE 266 ECC REG,MEMORIA,d,3.0,58.5,3.0,70.2,70.2,93.6,67.27,70.2,outlet_liquidaciones,./assets/img/catalog/outlet_liquidaciones/MEMRAM720.jpg,https://static.ctonline.mx/imagenes/MEMRAM720/MEMRAM720_400.jpg,./assets/img/placeholders/outlet_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
