sku,nombre,descripcion_completa,categoria_ct,marca,costo_base,precio_mxn,precio_original,img,brand_logo,ficha_url,costo_proveedor_mxn,precio,precio_mayoreo_10pzs,margen_aplicado,img_local,img_cdn,categoria_clasificada,utilidad_neta_minima,local_img
ACCRBT730,"TAPA HDMI 1 PUERTO (073307), Brobotix La tapa con cable pigtail HDMI permite realizar conexiones sin dañar las terminale","TAPA HDMI 1 PUERTO (073307), Brobotix La tapa con cable pigtail HDMI permite realizar conexiones sin dañar las terminales o el propio cable por el hecho de doblarlo en el remate hacia el faceplate. Color: Blanco.",CONECTIVIDAD,TAPA,6.0,157.95,187.2,https://static.ctonline.mx/imagenes/ACCRBT730/ACCRBT730_400.jpg,https://static.ctonline.mx/marcas/png/TAPA.png,https://ctonline.mx/buscar/productos?b=ACCRBT730,117.0,157.95,140.4,35%,assets/img/catalog/ACCRBT730.jpg,https://static.ctonline.mx/imagenes/ACCRBT730/ACCRBT730_400.jpg,outlet_remates,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/ACCRBT730/ACCRBT730_400.jpg
ACCHPB010,Hands Free HP Bluethooth 5220.,Hands Free HP Bluethooth 5220.,OUTLET,HANDS,150.0,3948.75,4680.0,https://static.ctonline.mx/imagenes/ACCHPB010/ACCHPB010_400.jpg,https://static.ctonline.mx/marcas/png/HANDS.png,https://ctonline.mx/buscar/productos?b=ACCHPB010,2925.0,3948.75,3510.0,35%,assets/img/catalog/ACCHPB010.jpg,https://static.ctonline.mx/imagenes/ACCHPB010/ACCHPB010_400.jpg,outlet_remates,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/ACCHPB010/ACCHPB010_400.jpg
ACCHPD265,Combo Micrófono y Web Cam WB9181A.,Combo Micrófono y Web Cam WB9181A.,OUTLET,COMBO,99.0,2606.18,3088.8,https://static.ctonline.mx/imagenes/ACCHPD265/ACCHPD265_400.jpg,https://static.ctonline.mx/marcas/png/COMBO.png,https://ctonline.mx/buscar/productos?b=ACCHPD265,1930.5,2606.18,2316.6,35%,assets/img/catalog/ACCHPD265.jpg,https://static.ctonline.mx/imagenes/ACCHPD265/ACCHPD265_400.jpg,outlet_remates,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/ACCHPD265/ACCHPD265_400.jpg
MEMRAM080,DDR 400MHZ PC3200 128MB marca Super Talent,DDR 400MHZ PC3200 128MB marca Super Talent,OUTLET,DDR,2.0,52.65,62.4,https://static.ctonline.mx/imagenes/MEMRAM080/MEMRAM080_400.jpg,https://static.ctonline.mx/marcas/png/DDR.png,https://ctonline.mx/buscar/productos?b=MEMRAM080,39.0,52.65,46.8,35%,assets/img/catalog/MEMRAM080.jpg,https://static.ctonline.mx/imagenes/MEMRAM080/MEMRAM080_400.jpg,outlet_remates,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/MEMRAM080/MEMRAM080_400.jpg
MEMRAM720,MEMORIA DDR 512MB PC2100 DE 266 ECC REG,MEMORIA DDR 512MB PC2100 DE 266 ECC REG,OUTLET,DDR,3.0,78.98,93.6,https://static.ctonline.mx/imagenes/MEMRAM720/MEMRAM720_400.jpg,https://static.ctonline.mx/marcas/png/DDR.png,https://ctonline.mx/buscar/productos?b=MEMRAM720,58.5,78.98,70.2,35%,assets/img/catalog/MEMRAM720.jpg,https://static.ctonline.mx/imagenes/MEMRAM720/MEMRAM720_400.jpg,outlet_remates,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/MEMRAM720/MEMRAM720_400.jpg
