sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,placeholder,garantia,disponibilidad_gdl
ACCITL4790,ACCITL4790,"Soporte TV p/pared 80kg, 37"" a 80"" Alineacion, Ajuste Vertical (461481) No más problemas con lo","Soporte TV p/pared 80kg, 37"" a 80"" Alineacion, Ajuste Vertical (461481) No más problemas con los pisos disparejos, el molesto resplandor y la colocación en incomodos muebles que disminuyen la experiencias de tu TV de pantalla plana. El Soporte Universal de Pared para Televisiones de Pantalla Plana con Área de Almacenamiento Integrado, ofrecen un ajuste de inclinación suave y a un solo toque, lo que permite ver las imágenes, contraste y colores claros, nítidos y definidos. Su compatibilidad con los estándares VESA y su fabricación con materiales de alta calidad permiten ajustarlo a una variedad de pantallas para una instalación segura y confiable más allá del piso. VESA: 200 x 200, 400 x 200, 300 x 300, 400 x 400, 600 x 400, hasta 80 kg.",PC CUSTOM,d,42.03296703296703,819.64,42.03,983.57,983.57,1311.42,942.59,983.57,monitores,./assets/img/catalog/monitores/ACCITL4790.jpg,https://static.ctonline.mx/imagenes/ACCITL4790/ACCITL4790_400.jpg,./assets/img/placeholders/mon_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
ACCITL4320,ACCITL4320,"Soporte para TV, de pared (461320) movimiento articulado, pantallas curvas o planas de 32"" a 55","Soporte para TV, de pared (461320) movimiento articulado, pantallas curvas o planas de 32"" a 55"" de máximo 35 kg  Optimiza vistas con inclinación de -15° a 15°, ±80° de giro y ±5° de ajuste de nivel, Fabricado en acero, De fácil instalación, ideal para su uso en hogar, oficina y aplicaciones comerciales, Cumple estándares VESA: 200x200, 300x300, 00x200, 400x400","TV,",d,29.890109890109887,582.86,29.89,699.44,699.44,932.58,670.29,699.43,monitores,./assets/img/catalog/monitores/ACCITL4320.jpg,https://static.ctonline.mx/imagenes/ACCITL4320/ACCITL4320_400.jpg,./assets/img/placeholders/mon_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
ACCITL5390,ACCITL5390,"Soporte universal para monitor, con pistón a gas (461573) Soporta un monitor de 17"" a 32"", El b","Soporte universal para monitor, con pistón a gas (461573) Soporta un monitor de 17"" a 32"", El brazo con pistón a gas brinda un ajuste de altura con un ligero toque, Ajuste de tensión integrado, Prensa para escritorio o abrazadera de orificio (ambas suministradas)",PC CUSTOM,d,58.84615384615384,1147.5,58.85,1377.0,1377.0,1836.0,1319.62,1377.0,monitores,./assets/img/catalog/monitores/ACCITL5390.jpg,https://static.ctonline.mx/imagenes/ACCITL5390/ACCITL5390_400.jpg,./assets/img/placeholders/mon_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
ACCITL5430,ACCITL5430,"Soporte universal de pared para monitor con pistón a gas (461580) Soporta un monitor de 17"" a 3","Soporte universal de pared para monitor con pistón a gas (461580) Soporta un monitor de 17"" a 32"", El brazo con pistón a gas brinda un ajuste de altura con un ligero toque, Ajuste de tensión integrado, Prensa para escritorio o abrazadera de orificio (ambas suministradas)",PC CUSTOM,d,63.51648351648351,1238.57,63.52,1486.28,1486.28,1981.71,1424.36,1486.28,monitores,./assets/img/catalog/monitores/ACCITL5430.jpg,https://static.ctonline.mx/imagenes/ACCITL5430/ACCITL5430_400.jpg,./assets/img/placeholders/mon_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
ACCITL5270,ACCITL5270,"Soporte para dos monitores, movimiento con brazos de doble articulación (461559) Cumple con est","Soporte para dos monitores, movimiento con brazos de doble articulación (461559) Cumple con estándares VESA - sujeta de forma segura dos monitores LCD de 13"" a 32"", Coloca el monitor sobre el escritorio para incrementar el espacio de trabajo, mejora la visibilidad y minimiza el desorden, Brazos de doble articulación con ajustes de inclinacion independiente de ±45°, rotación de ±180° y altura variable",PC CUSTOM,d,45.49450549450549,887.14,45.49,1064.57,1064.57,1419.42,1020.21,1064.57,monitores,./assets/img/catalog/monitores/ACCITL5270.jpg,https://static.ctonline.mx/imagenes/ACCITL5270/ACCITL5270_400.jpg,./assets/img/placeholders/mon_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
ACCITL5380,ACCITL5380,"Soporte para monitor, de escritorio, movimiento articulado, 3 pantallas planas de 10"" a 27"" máx","Soporte para monitor, de escritorio, movimiento articulado, 3 pantallas planas de 10"" a 27"" máximo 7 kg cada una (461658) Cumple con los estándares VESA - Sujeta de una manera segura tres monitores LCD desde 13"" hasta 27"", Coloca el monitor sobre el escritorio para incrementar el espacio de trabajo, mejora la visibilidad y minimiza el desorden, Brazos de doble articulación con ajustes de inclinacion independiente de ±45°, rotación de ±180° y altura variable",PC CUSTOM,d,70.05494505494505,1366.07,70.05,1639.28,1639.28,2185.71,1570.98,1639.28,monitores,./assets/img/catalog/monitores/ACCITL5380.jpg,https://static.ctonline.mx/imagenes/ACCITL5380/ACCITL5380_400.jpg,./assets/img/placeholders/mon_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
ACCITL5370,ACCITL5370,"Soporte para cuatro monitores, movimiento con brazos de doble articulación (461566) Cumple con ","Soporte para cuatro monitores, movimiento con brazos de doble articulación (461566) Cumple con estándares VESA - sujeta de forma segura dos monitores LCD de 13"" a 32"", Coloca el monitor sobre el escritorio para incrementar el espacio de trabajo, mejora la visibilidad y minimiza el desorden, Brazos de doble articulación con ajustes de inclinacion independiente de ±45°, rotación de ±180° y altura variable",PC CUSTOM,d,79.3956043956044,1548.21,79.4,1857.86,1857.86,2477.14,1780.44,1857.85,monitores,./assets/img/catalog/monitores/ACCITL5370.jpg,https://static.ctonline.mx/imagenes/ACCITL5370/ACCITL5370_400.jpg,./assets/img/placeholders/mon_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
ACCITL3540,ACCITL3540,"Soporte TV (461245) carrito multifuncional para TV, Rotación de 90°para un sencillo soporte de ","Soporte TV (461245) carrito multifuncional para TV, Rotación de 90°para un sencillo soporte de pantalla en orientación vertical u horizontal, Charola ajustable para un mayor espacio de almacenamiento, Inclinación de pantalla para un ángulo de vista ideal, Administrador interno de cable para una apariencia libre de enredos, Ruedas de uso rudo con un diseño reforzado para soportar el peso del equipo y permitir un manejo más sencillo, Cumple con estándares VESA: 200 x 200, 300 x 300, 400 x 200, 400 x 400 & 600 x 400",PC CUSTOM,d,331.5934065934066,6466.07,331.59,7759.28,7759.28,10345.71,7435.98,7759.28,monitores,./assets/img/catalog/monitores/ACCITL3540.jpg,https://static.ctonline.mx/imagenes/ACCITL3540/ACCITL3540_400.jpg,./assets/img/placeholders/mon_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
ACCITL3550,ACCITL3550,"Soporte TV (461238) Carrito multifuncional para TV, Postes retráctiles que reducen el tamaño de","Soporte TV (461238) Carrito multifuncional para TV, Postes retráctiles que reducen el tamaño de empaque para envíos más sencillos, Posición ajustable para la pantalla a lo alto de los postes para la lograr una altura perfecta a la vista, Charola ajustable para un mayor espacio de almacenamiento, Ruedas de uso rudo con un diseño reforzado para soportar el peso del equipo y permitir un manejo más sencillo, Cumple con estándares VESA: 200 x 200, 300 x 300, 400 x 200, 400 x 400 & 600 x 400",PC CUSTOM,d,120.4945054945055,2349.64,120.49,2819.57,2819.57,3759.42,2702.09,2819.57,monitores,./assets/img/catalog/monitores/ACCITL3550.jpg,https://static.ctonline.mx/imagenes/ACCITL3550/ACCITL3550_400.jpg,./assets/img/placeholders/mon_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
ACCITL4310,ACCITL4310,Soporte para TV (461290) Montaje Universal en Pared Articulado para Pantalla grandes de TV de 3,"Soporte para TV (461290) Montaje Universal en Pared Articulado para Pantalla grandes de TV de 37"" a 90"", Ajuste VESA estándar 200x200, 300x300 y 400x400. Capacidad de carga: hasta 75 kg, Optimiza vistas con inclinación-15° to 5° , ±60° de giro y nivel de ajuste de ±3°",PC CUSTOM,d,92.94505494505493,1812.43,92.95,2174.92,2174.92,2899.89,2084.29,2174.92,monitores,./assets/img/catalog/monitores/ACCITL4310.jpg,https://static.ctonline.mx/imagenes/ACCITL4310/ACCITL4310_400.jpg,./assets/img/placeholders/mon_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
